City_ID,City,Cloudiness,Country,Current Description,Date,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
288,Ahipara,100,NZ,moderate rain,2020-06-20 03:18:28,84,-35.17,173.17,57.56,1.03,1.03,12.53
289,Itarema,0,BR,clear sky,2020-06-20 03:20:29,90,-2.92,-39.92,75.49,0.0,0.0,10.49
290,Khasan,91,RU,overcast clouds,2020-06-20 03:19:43,87,42.43,130.64,60.96,0.0,0.0,10.22
291,Ambanja,100,MG,light rain,2020-06-20 03:20:30,92,-13.68,48.45,68.88,0.2,0.2,1.1
292,Tiarei,40,PF,scattered clouds,2020-06-20 03:20:30,70,-17.53,-149.33,84.2,0.0,0.0,4.7
293,Macroom,20,IE,few clouds,2020-06-20 03:20:30,93,51.9,-8.95,46.99,0.0,0.0,3.36
294,Raudeberg,24,NO,few clouds,2020-06-20 03:20:31,87,61.99,5.14,60.8,0.0,0.0,3.36
295,Gouyave,20,GD,few clouds,2020-06-20 03:20:31,83,12.16,-61.73,80.6,0.0,0.0,13.87
296,Ocampo,59,MX,light rain,2020-06-20 03:20:31,69,21.65,-101.5,64.49,0.24,0.24,9.98
297,Barranca,77,PE,broken clouds,2020-06-20 03:20:31,88,-10.75,-77.77,61.63,0.0,0.0,5.95
298,Maniitsoq,92,GL,overcast clouds,2020-06-20 03:20:32,86,65.42,-52.9,37.0,0.0,0.0,12.53
299,Vostok,99,RU,overcast clouds,2020-06-20 03:18:21,60,46.49,135.88,62.15,0.0,0.0,2.62
300,Mbanza-Ngungu,0,CD,clear sky,2020-06-20 03:20:32,96,-5.25,14.87,63.43,0.0,0.0,3.8
301,Lima,75,PE,broken clouds,2020-06-20 03:20:01,88,-12.04,-77.03,62.6,0.0,0.0,13.87
302,Nikolskoye,20,RU,few clouds,2020-06-20 03:17:43,77,59.7,30.79,60.8,0.0,0.0,13.42
303,Moron,20,AR,few clouds,2020-06-20 03:20:33,97,-34.65,-58.62,54.0,0.0,0.0,2.8
304,Alghero,0,IT,clear sky,2020-06-20 03:20:33,93,40.56,8.32,60.01,0.0,0.0,1.12
305,Kenora,40,CA,scattered clouds,2020-06-20 03:20:33,76,49.82,-94.43,57.2,0.0,0.0,6.93
306,Palmer,75,US,broken clouds,2020-06-20 03:20:14,69,42.16,-72.33,73.4,0.0,0.0,6.93
307,Cidreira,93,BR,light rain,2020-06-20 03:20:34,92,-30.18,-50.21,66.16,0.75,0.75,7.0
308,Saint-Augustin,100,CA,overcast clouds,2020-06-20 03:18:23,93,51.23,-58.65,44.91,0.0,0.0,8.75
309,Coahuayana,25,MX,scattered clouds,2020-06-20 03:20:35,76,18.73,-103.68,78.48,0.0,0.0,1.12
310,Svetlyy,18,RU,few clouds,2020-06-20 03:20:35,100,54.67,20.13,62.6,0.0,0.0,4.63
311,Lasa,75,IT,broken clouds,2020-06-20 03:18:41,100,46.62,10.7,46.99,0.0,0.0,1.12
312,Tura,90,IN,overcast clouds,2020-06-20 03:18:17,85,25.52,90.22,79.0,0.0,0.0,3.94
313,Mier,1,MX,clear sky,2020-06-20 03:20:36,74,26.43,-99.15,84.2,0.0,0.0,4.7
314,Jaciara,56,BR,broken clouds,2020-06-20 03:20:36,75,-15.97,-54.97,67.33,0.0,0.0,3.8
315,Strezhevoy,40,RU,light intensity shower rain,2020-06-20 03:20:36,93,60.73,77.59,42.8,0.0,0.0,6.71
316,Rocha,65,UY,broken clouds,2020-06-20 03:18:56,93,-34.48,-54.33,50.81,0.0,0.0,6.53
317,Ostrovnoy,100,RU,overcast clouds,2020-06-20 03:18:13,84,68.05,39.51,43.25,0.0,0.0,21.61
318,Lodwar,34,KE,scattered clouds,2020-06-20 03:20:37,50,3.12,35.6,82.18,0.0,0.0,5.68
319,Zhigansk,20,RU,few clouds,2020-06-20 03:19:00,32,66.77,123.37,77.16,0.0,0.0,9.37
320,Nuuk,67,GL,broken clouds,2020-06-20 03:20:37,89,64.18,-51.72,35.6,0.0,0.0,0.36
321,Chicama,53,PE,broken clouds,2020-06-20 03:20:38,82,-7.84,-79.15,64.2,0.0,0.0,6.29
322,Petropavlovsk-Kamchatskiy,20,RU,few clouds,2020-06-20 03:18:34,66,53.05,158.65,53.6,0.0,0.0,15.66
323,Tessalit,0,ML,clear sky,2020-06-20 03:17:38,24,20.2,1.01,89.02,0.0,0.0,5.37
324,Dingle,8,PH,clear sky,2020-06-20 03:19:41,61,11.0,122.67,88.05,0.0,0.0,7.2
325,Rock Sound,75,BS,broken clouds,2020-06-20 03:20:39,86,24.9,-76.2,80.89,0.0,0.0,11.68
326,Sorong,40,ID,light rain,2020-06-20 03:19:53,72,-0.88,131.25,84.02,0.16,0.16,5.06
327,Carahue,100,CL,overcast clouds,2020-06-20 03:20:39,81,-38.7,-73.17,50.0,0.0,0.0,11.41
328,Bubaque,100,GW,overcast clouds,2020-06-20 03:20:39,82,11.28,-15.83,81.63,0.0,0.0,11.25
329,Awjilah,0,LY,clear sky,2020-06-20 03:20:39,26,29.11,21.29,77.97,0.0,0.0,8.03
330,Dikson,0,RU,clear sky,2020-06-20 03:17:43,81,73.51,80.55,36.91,0.0,0.0,4.27
331,Newport,89,GB,overcast clouds,2020-06-20 03:20:07,96,51.59,-3.0,55.99,0.0,0.0,6.91
332,Hailar,96,CN,light rain,2020-06-20 03:20:40,78,49.2,119.7,66.58,0.12,0.12,9.28
333,Sao Filipe,0,CV,clear sky,2020-06-20 03:18:04,81,14.9,-24.5,76.15,0.0,0.0,8.43
334,Madison,1,US,clear sky,2020-06-20 03:17:21,73,34.73,-86.57,73.99,0.0,0.0,2.68
335,Kumeny,100,RU,light rain,2020-06-20 03:20:41,97,58.11,49.92,59.9,0.44,0.44,9.46
336,Novobirilyussy,100,RU,overcast clouds,2020-06-20 03:20:41,90,56.95,90.67,46.58,0.0,0.0,4.7
337,Wawa,100,NG,overcast clouds,2020-06-20 03:20:41,90,9.9,4.42,75.63,0.0,0.0,4.63
338,Zorritos,0,PE,clear sky,2020-06-20 03:20:41,75,-3.68,-80.68,72.55,0.0,0.0,5.37
